path,top_level,service,ext,lines,class,review_level,risk_tags,notes
.env.example,.env.example,root-infra,.example,48,deployment-config,manual-targeted,deploy-surface,Targeted review required when touching this file; flagged by path/size/security/deploy/schema heuristics.
.gitignore,.gitignore,root-infra,,159,other,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
AGENTS.md,AGENTS.md,root-infra,.md,223,documentation,context-review,,Used as architecture/process context; not executable runtime surface.
ANILA.code-workspace,ANILA.code-workspace,root-infra,.code-workspace,11,other,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/.dockerignore,ANILALM,anilalm,,12,other,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/.env.example,ANILALM,anilalm,.example,22,deployment-config,manual-targeted,deploy-surface,Targeted review required when touching this file; flagged by path/size/security/deploy/schema heuristics.
ANILALM/.gitignore,ANILALM,anilalm,,9,other,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/Claude-Design-Sys-Prompt.txt,ANILALM,anilalm,.txt,422,documentation,context-review,,Used as architecture/process context; not executable runtime surface.
ANILALM/Dockerfile,ANILALM,anilalm,,48,deployment-config,manual-targeted,deploy-surface,Targeted review required when touching this file; flagged by path/size/security/deploy/schema heuristics.
ANILALM/README.en.md,ANILALM,anilalm,.md,153,documentation,context-review,,Used as architecture/process context; not executable runtime surface.
ANILALM/README.md,ANILALM,anilalm,.md,153,documentation,context-review,,Used as architecture/process context; not executable runtime surface.
ANILALM/_design/README.md,ANILALM,anilalm,.md,24,documentation,context-review,,Used as architecture/process context; not executable runtime surface.
ANILALM/_design/app.jsx,ANILALM,anilalm,.jsx,119,frontend-or-node-code,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/_design/design-canvas.jsx,ANILALM,anilalm,.jsx,622,frontend-or-node-code,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/_design/prototype.html,ANILALM,anilalm,.html,1929,frontend-or-node-code,manual-targeted,giant-file,Targeted review required when touching this file; flagged by path/size/security/deploy/schema heuristics.
ANILALM/_design/screens/dashboard.jsx,ANILALM,anilalm,.jsx,144,frontend-or-node-code,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/_design/screens/login.jsx,ANILALM,anilalm,.jsx,136,frontend-or-node-code,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
ANILALM/_design/screens/workspace-chat.jsx,ANILALM,anilalm,.jsx,171,frontend-or-node-code,automated-ledger,,Automated inventory and heuristic scan; no file-specific manual finding in this pass.
